DATE	Population	PopOver16	LaborForce	Unemployed	CPI	CPIexFE	PCE	PCEexFE	GS1	GS5	GS10
1981-04-01	229489	169641	107906	7561	89.100	87.000	44.409	43.847	14.32	13.99	13.68
1981-05-01	229668	169829	108586	7731	89.700	87.800	44.609	44.148	16.20	14.63	14.10
1981-06-01	229864	170042	109904	8485	90.500	88.600	44.787	44.369	14.86	13.95	13.47
1981-07-01	230077	170246	110742	8130	91.500	89.800	45.057	44.636	15.72	14.79	14.28
1981-08-01	230300	170399	110099	7947	92.200	90.700	45.338	44.936	16.72	15.56	14.94
1981-09-01	230527	170593	108273	7884	93.100	91.800	45.613	45.230	16.52	15.93	15.32
1981-10-01	230732	170809	109244	8216	93.400	92.100	45.820	45.499	15.38	15.41	15.15
1981-11-01	230906	170996	109179	8676	93.800	92.500	46.065	45.765	12.41	13.38	13.39
1981-12-01	231073	171166	108574	9013	94.100	93.000	46.208	45.934	12.85	13.60	13.72
1982-01-01	231235	171335	108014	10183	94.400	93.300	46.483	46.216	14.32	14.65	14.59
1982-02-01	231392	171489	108324	10378	94.700	93.800	46.622	46.395	14.73	14.54	14.43
1982-03-01	231558	171667	108761	10290	94.700	93.900	46.742	46.597	13.95	13.98	13.86
1982-04-01	231727	171844	108814	9957	95.000	94.700	46.766	46.781	13.98	14.00	13.87
1982-05-01	231901	172026	109914	9957	95.900	95.400	47.043	47.037	13.34	13.75	13.62
1982-06-01	232090	172190	111569	10886	97.000	96.100	47.384	47.273	14.07	14.43	14.30
1982-07-01	232290	172364	112526	11036	97.500	96.700	47.665	47.579	13.24	14.07	13.95
1982-08-01	232496	172511	111887	10710	97.700	97.100	47.813	47.798	11.43	13.00	13.06
1982-09-01	232708	172690	110546	10695	97.700	97.200	47.946	47.975	10.85	12.25	12.34
1982-10-01	232905	172881	110767	10942	98.100	97.500	48.215	48.279	9.32	10.80	10.91
1982-11-01	233077	173058	110855	11476	98.000	97.300	48.359	48.458	9.16	10.38	10.55
1982-12-01	233241	173199	110477	11628	97.700	97.200	48.432	48.612	8.91	10.22	10.54
1983-01-01	233398	173354	109779	12517	97.900	97.600	48.659	48.945	8.62	10.03	10.46
1983-02-01	233543	173505	109647	12382	98.000	98.000	48.741	49.126	8.92	10.26	10.72
1983-03-01	233697	173656	109873	11879	98.100	98.200	48.804	49.188	9.04	10.08	10.51
1983-04-01	233852	173794	109875	11035	98.800	98.600	49.027	49.337	8.98	10.02	10.40
1983-05-01	234020	173953	110308	10765	99.200	98.900	49.166	49.408	8.90	10.03	10.38
1983-06-01	234213	174125	113383	11570	99.400	99.200	49.349	49.639	9.66	10.63	10.85
