"DATE"	"A191RL1Q225SBEA"	"A191RO1Q156NBEA"	"B230RC0Q173SBEA"	"CAPUTLB50001SQ"	"GDPPOT"	"ND000334Q"
2006-04-01	1	3	298408	80.7421	15158.0237153798	3836.061
2006-07-01	0.6	2.3	299180	80.5803	15239.1033395682	3833.693
2006-10-01	3.4	2.6	299946	80.2018	15316.9142182979	3916.851
2007-01-01	1.2	1.5	300609	80.4189	15394.5912629946	3785.119
2007-04-01	2.6	1.9	301284	80.8666	15472.7721486488	3896.72
2007-07-01	2.4	2.4	302062	80.6709	15551.6854482786	3926.744
2007-10-01	2.5	2.2	302829	80.8642	15630.1643899517	4015.289
2008-01-01	-1.6	1.4	303494	80.7013	15707.8964360188	3902.77
2008-04-01	2.3	1.4	304160	79.6275	15782.9451187732	3934.652
2008-07-01	-2.1	0.2	304902	77.0197	15854.4791535544	3910.393
2008-10-01	-8.5	-2.5	305616	73.495	15921.6470523935	3895.147
2009-01-01	-4.6	-3.3	306237	69.0855	15983.2985227003	3703.443
2009-04-01	-0.7	-4	306866	66.9667	16040.7026446231	3782.545
2009-07-01	1.5	-3.1	307573	68.0573	16094.7416717907	3823.607
2009-10-01	4.3	0.1	308285	69.3406	16147.0633568924	3926.667
2010-01-01	2	1.8	308901	71.0898	16199.7102423223	3776.48
2010-04-01	3.9	2.9	309488	72.9487	16253.7161571203	3900.64
2010-07-01	3.1	3.3	310148	74.3353	16310.4477238107	3945.123
2010-10-01	2.1	2.8	310817	74.9037	16369.3051514351	4026.748
2011-01-01	-1	2	311376	75.4038	16430.4647667806	3871.183
2011-04-01	2.7	1.7	311940	75.6201	16494.1241873801	3957.95
2011-07-01	-0.2	0.9	312606	76.2349	16560.1095283173	3983.907
2011-10-01	4.6	1.5	313258	76.6584	16627.8916535486	4078.494
2012-01-01	3.3	2.6	313813	76.9805	16697.3907199244	3986.349
2012-04-01	1.8	2.4	314373	77.024	16768.9711784616	4046.533
2012-07-01	0.7	2.6	315030	76.6226	16842.1603145214	4083.025
2012-10-01	0.4	1.6	315685	76.6429	16916.6538826487	4138.064
2013-01-01	3.5	1.6	316196	76.9182	16992.5714864277	4017.571
2013-04-01	0.6	1.3	316733	77.0049	17069.5660620111	4104.203
2013-07-01	3.2	1.9	317396	77.1103	17147.1507822778	4170.71
2013-10-01	2.9	2.5	318072	77.471	17225.8023883993	4260.864
2014-01-01	-1.4	1.3	318645	77.8521	17305.4194541681	4079.517
2014-04-01	5.2	2.5	319228	78.7323	17385.7105293936	4194.264
2014-07-01	4.7	2.8	319919	78.993	17467.5492094804	4287.261
2014-10-01	1.8	2.6	320611	79.2124	17550.0147920084	4371.009
2015-01-01	3.3	3.8	321168	78.1871	17632.760612538	4212.523
2015-04-01	2.3	3	321744	77.0087	17715.601334992	4343.294
2015-07-01	1.3	2.2	322428	77.0426	17797.9113389358	4389.955
2015-10-01	0.6	1.9	323110	75.9918	17879.0750227073	4444.522
2016-01-01	2.4	1.6	323689	75.496	17959.5247256684	4288.31
2016-04-01	1.2	1.4	324265	75.1707	18039.0585514838	4407.286
2016-07-01	2.4	1.6	324926	75.3204	18117.6491898626	4449.603
2016-10-01	2	2	325557	75.1925	18195.8769397078	4535.075
2017-01-01	1.7	1.8	326053	75.289	18274.5328220628	4340.814
2017-04-01	2	2	326554	76.4988	18352.950873578	4510.507
2017-07-01	3.4	2.3	327140	76.4803	18433.5035219841	4556.956
2017-10-01	4.1	2.8	327692	77.7549	18516.0760514635	4668.375
2018-01-01	2.8	3.1	328091	78.3806	18600.542516946	4500.182
2018-04-01	2.8	3.3	328526	79.4599	18687.3220970319	4646.83
2018-07-01	2.9	3.2	329040	80.1148	18776.0991104684	4689.905
2018-10-01	0.7	2.3	329522	80.0088	18865.3728974531	4772.161
2019-01-01	2.2	2.2	329868	79.0816	18954.7645995055	4584.814
2019-04-01	2.7	2.1	330245	78.4919	19044.8814602734	4753.025
2019-07-01	3.6	2.3	330729	78.2755	19135.4193436576	4796.221
2019-10-01	1.8	2.6	331208	77.5252	19225.5990857475	4901.993
2020-01-01	-4.6	0.8	331534	76.1875	19314.3302285625	4628.46
2020-04-01	-29.9	-8.4	331699	66.6309	19399.6594242948	4335.915
2020-07-01	35.3	-2	331872	73.0298	19477.2142829202	4701.108
2020-10-01	3.9	-1.5	332045	74.6035	19559.2712598698	4843.66
2021-01-01	6.3	1.2	331989	75.6195	19644.49	4691.624
2021-04-01	7	12.5	332149	77.1678	19732.99	4890.835
2021-07-01	2.7	5	332480	77.9702	19822.82	4916.402
2021-10-01	7	5.7	332786	78.7669	19914.29	5110.951
2022-01-01	-1.6	3.7	332978	79.3907	20005.45	4855.857
2022-04-01	-0.6	1.8	333321	79.9921	20101.18	4985.795
2022-07-01	3.2	1.9	333799	79.9996	20197.94	5018.093
2022-10-01	2.9	1	334282	79.3727	20295.47	5172.445
2023-01-01					20393.62	
2023-04-01					20492.06	
2023-07-01					20591.2	
2023-10-01					20690.79	
2024-01-01					20790.79	
2024-04-01					20890.48	
2024-07-01					20989.97	
2024-10-01					21089.27	
2025-01-01					21188.34	
2025-04-01					21287.1	
2025-07-01					21385.9	
2025-10-01					21484.64	
2026-01-01					21583.28	
