"DATE"	"CEU0500000002"	"CEU0500000003"	"CNP16OV"	"CPIAUCSL"	"CPILFESL"	"GS1"	"GS10"	"GS5"	"LFWA64TTUSM647S"	"LNU01000000"	"LNU03000000"	"LNU05000000"	"PCEPI"	"PCEPILFE"	"PCETRIM1M158SFRBDAL"	"POPTHM"	"STLPPM"
1960-09-01			117521	29.61	30.6	3.07	3.8	3.61		70207	3315		15.588	15.981		181567	
1960-10-01			117643	29.75	30.8	3.04	3.89	3.76		70100	3537		15.606	15.99		181807	
1960-11-01			117829	29.78	30.8	3.08	3.93	3.81		70361	3967		15.659	16.033		182026	
1960-12-01			118001	29.81	30.7	2.86	3.84	3.67		69757	4470		15.662	16.028		182225	
1961-01-01			118155	29.84	30.8	2.81	3.84	3.67		69132	5335		15.665	16.032		182404	
1961-02-01			118250	29.84	30.8	2.93	3.78	3.66		69523	5654		15.679	16.048		182631	
1961-03-01			118358	29.84	30.9	2.88	3.74	3.6		70123	5423		15.67	16.053		182867	
1961-04-01			118503	29.81	30.9	2.88	3.78	3.57		69844	4887		15.661	16.075		183105	
1961-05-01			118638	29.84	30.9	2.87	3.71	3.47		70502	4671		15.67	16.096		183335	
1961-06-01			118767	29.84	31	3.06	3.88	3.81		72464	5313		15.677	16.12		183572	
1961-07-01			118889	29.92	31	2.92	3.92	3.84		71872	4961		15.711	16.145		183825	
1961-08-01			119006	29.94	31.1	3.06	4.04	3.96		71468	4440		15.724	16.162		184101	
1961-09-01			119107	29.98	31.1	3.06	3.98	3.9		70070	4034		15.742	16.194		184384	
1961-10-01			119202	29.98	31.1	3.05	3.92	3.8		70649	3863		15.741	16.199		184654	
1961-11-01			119153	29.98	31.2	3.07	3.94	3.82		70289	3941		15.742	16.202		184900	
1961-12-01			119214	30.01	31.2	3.18	4.06	3.91		69572	4041		15.746	16.216		185129	
1962-01-01			119300	30.04	31.2	3.28	4.08	3.94		68836	4621		15.776	16.235		185347	
1962-02-01			119360	30.11	31.2	3.28	4.04	3.89		69353	4481		15.818	16.262		185551	
1962-03-01			119476	30.17	31.3	3.06	3.93	3.68		69744	4323		15.839	16.3		185762	
1962-04-01			119702	30.21	31.3	2.99	3.84	3.6		69820	3863		15.857	16.303		185981	
1962-05-01			119813	30.24	31.4	3.03	3.87	3.66		70658	3592		15.867	16.326		186201	
1962-06-01			119943	30.21	31.4	3.03	3.91	3.64		72071	4219		15.877	16.356		186426	
1962-07-01			120128	30.22	31.4	3.29	4.01	3.8		71678	3829		15.868	16.37		186664	
1962-08-01			120323	30.28	31.5	3.2	3.98	3.71		71938	3842		15.891	16.372		186924	
1962-09-01			120653	30.42	31.5	3.06	3.98	3.7		71076	3455		15.969	16.404		187191	
1962-10-01			120856	30.38	31.5	2.98	3.93	3.64		71084	3234		15.953	16.403		187449	
1962-11-01			121045	30.38	31.5	3	3.92	3.6		70772	3726		15.964	16.415		187685	
1962-12-01			121236	30.38	31.6	3.01	3.86	3.56		70345	3760		15.958	16.42		187905	
1963-01-01			121463	30.44	31.5	3.04	3.83	3.58		69795	4627		15.997	16.451		188113	
1963-02-01			121633	30.48	31.6	3.01	3.92	3.66		70389	4870		16.014	16.47		188300	
1963-03-01			121824	30.51	31.7	3.03	3.93	3.68		70771	4442		16.001	16.48		188484	
1963-04-01			121986	30.48	31.7	3.11	3.97	3.74		71233	3993		16	16.5		188685	
1963-05-01			122162	30.51	31.7	3.12	3.93	3.72		71933	3949		16.026	16.53		188904	
1963-06-01			122352	30.61	31.8	3.2	3.99	3.81		73398	4554		16.061	16.558		189130	
1963-07-01			122521	30.69	31.8	3.48	4.02	3.89		73365	4140		16.093	16.573		189369	
1963-08-01			122667	30.75	31.9	3.53	4	3.89		72807	3755		16.115	16.588		189629	
1963-09-01			122821	30.72	31.9	3.57	4.08	3.96		72037	3470		16.112	16.618		189895	
1963-10-01			123014	30.75	32	3.64	4.11	3.97		72358	3394		16.143	16.655		190147	
1963-11-01			123192	30.78	32	3.74	4.12	4.01		72329	3858		16.166	16.67		190369	
1963-12-01			123360	30.88	32.1	3.81	4.13	4.04		71579	3788		16.19	16.694		190570	
1964-01-01			123560	30.94	32.2	3.79	4.17	4.07		70986	4518		16.224	16.717		190763	
1964-02-01			123707	30.91	32.2	3.78	4.15	4.03		71658	4461		16.247	16.749		190953	
1964-03-01			123857	30.94	32.2	3.91	4.22	4.14		71920	4225		16.257	16.765		191146	
1964-04-01			124019	30.95	32.2	3.91	4.23	4.15		72778	3831		16.269	16.78		191346	
